Date,ta,tg,tmrt,ideal_ta,max_temp,min_temp,outdoor_temp,rh,as,pmv,lux,ideal_rh,ideal_as
1/01/2019,25.36527794,25.51241459,25.56896931,22,31.4,21.7,26.55,54.94846555,0.041491604,0.788216561,173.0943833,50,0.15
2/01/2019,24.70066807,24.82057478,24.87427927,22,29.7,21.1,25.4,56.2973217,0.042645501,0.626602468,159.4083659,50,0.15
3/01/2019,24.19423577,24.30900371,24.36066832,22,28.5,21,24.75,59.08508663,0.04222927,0.521410891,114.5457921,50,0.15
4/01/2019,24.06441065,24.16395437,24.19668251,22,31.4,20.5,25.95,58.23162231,0.039291825,0.477534854,118.8434728,50,0.15
5/01/2019,25.62603301,25.71888924,25.75395113,22,37.4,22,29.7,58.19358934,0.03680292,0.877340527,53.80672802,50,0.15
6/01/2019,25.39846276,25.45554992,25.47158479,22,22.1,17.9,20,59.11600634,0.030131854,0.825451664,21.33343899,50,0.15
7/01/2019,24.2060703,24.27131729,24.295095,22,23.7,18.2,20.95,58.209943,0.045294807,0.502564915,94.92146928,50,0.15
8/01/2019,24.27911493,24.3734766,24.43007323,22,29.3,20.7,25,59.45845272,0.048323464,0.533810888,121.6526584,50,0.15
9/01/2019,24.5576994,24.64262472,24.68156657,22,30,20.5,25.25,60.93835399,0.048460439,0.614108675,127.6781061,50,0.15
10/01/2019,23.97702332,24.0546886,24.08990418,22,22.4,20.6,21.5,59.61034813,0.046527946,0.451612903,90.38007027,50,0.15
11/01/2019,23.84414749,23.93878033,23.99343839,22,27.7,20.1,23.9,59.54018279,0.047095808,0.422092657,97.49889694,50,0.15
12/01/2019,25.35074556,25.42921637,25.46852792,22,29.6,20.6,25.1,60.58756345,0.043405774,0.817703046,69.94701777,50,0.15
13/01/2019,26.06546032,26.13172381,26.16046032,22,27.7,21.3,24.5,60.56031746,0.043784762,1.000666667,65.66793651,50,0.15
14/01/2019,24.72179365,24.82844762,24.88960952,22,29,21.4,25.2,58.59968254,0.056744762,0.635714286,123.6514286,50,0.15
15/01/2019,24.52180952,24.64627619,24.72836508,22,29.7,22.1,25.9,58.78031746,0.055754921,0.589555556,133.5961905,50,0.15
16/01/2019,24.46997395,24.58755454,24.6541029,22,30.7,21.8,26.25,59.15304461,0.051217519,0.582220775,135.9176164,50,0.15
17/01/2019,24.18782289,24.27743437,24.30919846,22,29.5,22.4,25.95,58.12915646,0.043064403,0.502415121,131.140707,50,0.15
18/01/2019,24.15785514,24.25495451,24.29124913,22,31.7,22.6,27.15,57.97550735,0.040526242,0.49580126,135.7323303,50,0.15
19/01/2019,25.44733732,25.50391488,25.52475554,22,26.2,23.3,24.75,58.25958495,0.033232853,0.82711924,35.55821316,50,0.15
20/01/2019,25.97985669,26.03159734,26.05024117,22,26.8,20.7,23.75,58.49772807,0.036003495,0.965955959,44.55085634,50,0.15
21/01/2019,24.6121958,24.67452098,24.69261538,22,26.7,21.5,24.1,58.12482517,0.049178322,0.598986014,120.9195804,50,0.15
22/01/2019,24.43581322,24.51837356,24.55343477,22,29.6,21.7,25.65,58.2416929,0.046227352,0.561525009,151.6621196,50,0.15
23/01/2019,24.20885435,24.28250786,24.30478519,22,29.4,21.7,25.55,58.1938526,0.041601816,0.503877052,122.2958435,50,0.15
24/01/2019,24.03208595,24.11382949,24.1487631,22,27.8,21.6,24.7,58.39308176,0.043315863,0.457651992,115.4968553,50,0.15
25/01/2019,24.16309415,24.24429121,24.28126006,22,30.7,21.9,26.3,58.80819041,0.044249212,0.499894995,145.4322716,50,0.15
26/01/2019,25.93198897,25.99378309,26.02712868,22,34.6,22.7,28.65,59.98786765,0.039627206,0.968529412,60.08235294,50,0.15
27/01/2019,26.4760883,26.557622,26.61796282,22,34.1,22.9,28.5,59.60263362,0.031278079,1.11742835,136.1572424,50,0.15
28/01/2019,27.11296125,27.15457874,27.16831141,22,30.3,22.6,26.45,59.05474582,0.040918948,1.260504799,104.8684678,50,0.15
29/01/2019,26.89926566,26.92804896,26.92977322,22,30.4,22.3,26.35,57.28833693,0.04800216,1.180201584,140.8020158,50,0.15
30/01/2019,25.31211871,25.35255396,25.36084892,22,28.6,22.3,25.45,57.3057554,0.057403597,0.761007194,133.7147482,50,0.15
31/01/2019,24.75532523,24.83004646,24.8530772,22,39.7,22.4,31.05,57.32058613,0.047881344,0.633523946,134.9145818,50,0.15
